strategy,question,precision_at_3,mrr,best_rank,relevant_chunks_found
Fixed,What is Python used for?,0.3333,0.3333,3,1
Recursive,What is Python used for?,0.3333,1.0000,1,1
Sentence,What is Python used for?,0.3333,0.3333,3,1
Fixed,What is retrieval augmented generation?,0.3333,1.0000,1,1
Recursive,What is retrieval augmented generation?,0.3333,1.0000,1,1
Sentence,What is retrieval augmented generation?,0.3333,1.0000,1,1
Fixed,What is a database?,0.3333,1.0000,1,1
Recursive,What is a database?,0.3333,1.0000,1,1
Sentence,What is a database?,0.3333,1.0000,1,1
Fixed,What is machine learning?,0.3333,1.0000,1,1
Recursive,What is machine learning?,0.3333,1.0000,1,1
Sentence,What is machine learning?,0.3333,1.0000,1,1
Fixed,What is software testing?,0.3333,1.0000,1,1
Recursive,What is software testing?,0.3333,1.0000,1,1
Sentence,What is software testing?,0.3333,1.0000,1,1
